"row ID","TP","FP","TN","FN","TPR","TNR","PPV","Accuracy","F1-score","G-mean","AUC"
"ZeroR",0,0,36576,22824,0,1,-1,0.6157575757575757,-1,0,0.4999715384551694
"CART",17378,5199,31138,5283,0.7668681876351441,0.8569226958747282,0.769721397882801,0.8223329604393369,0.7682921437729343,0.8106458873817066,0.8363323739876121
"3NN",16747,4513,32063,6077,0.733745180511742,0.8766130796150481,0.7877234242709313,0.8217171717171717,0.7597767897649941,0.802004128630955,0.8633720047146884
"MLP3c25nc",15823,3818,32758,7001,0.6932614791447599,0.8956146106736658,0.8056107122855252,0.8178619528619528,0.7452254798068998,0.7879689776503157,0.8737122264989743
"NB",17323,11252,25324,5501,0.758981773571679,0.6923665791776028,0.6062292213473316,0.7179629629629629,0.6740598066110236,0.7249093834583556,0.81225871952968
"RF",17103,2726,33850,5721,0.7493427970557308,0.9254702537182852,0.8625245852034898,0.8577946127946128,0.8019600028134012,0.8327631527109834,0.9185579860325304
"XGB150",16990,3104,33472,5834,0.7443918682089029,0.9151356080489939,0.8455260276699512,0.8495286195286196,0.7917423924693602,0.8253602273795854,0.9148752711609132
