"row ID","TP","FP","TN","FN","TPR","TNR","PPV","Accuracy","F1-score","G-mean","AUC"
"XGB",17140,3157,33419,5684,0.7509638976515948,0.9136865704286964,0.8444597723801547,0.8511616161616161,0.7949722872846177,0.8283390780115666,0.9182201513286264
"XGB-125",17297,3178,33398,5527,0.7578426218016123,0.9131124234470691,0.8447863247863248,0.8534511784511785,0.798956095983741,0.8318626767590616,0.9202047912605467
"XGB-150",17405,3206,33370,5419,0.7625744830003505,0.9123468941382327,0.8444519916549416,0.8547979797979798,0.8014274202831818,0.8341057853260809,0.9215012565532686
"XGB-250",17675,3304,33272,5149,0.7744041359971959,0.9096675415573053,0.8425091758425092,0.8576936026936027,0.8070223500673471,0.8393153796782103,0.922882002637289
