"row ID","TP","FP","TN","FN","TPR","TNR","PPV","Accuracy","F1-score","G-mean","AUC"
"ZeroR",0,0,36576,22824,0,1,-1,0.6157575757575757,-1,0,0.4999715384551694
"CART",17456,5016,31276,5158,0.7719112054479526,0.8617877218119696,0.7767888928444286,0.8272841476250297,0.7743423679190881,0.815612407448613,0.8383677865125014
"3NN",15925,5125,31451,6899,0.6977304591657904,0.8598807961504812,0.7565320665083135,0.7975757575757576,0.725942471623285,0.7745740911790947,0.8407623265944446
"MLP",13620,5773,30803,9204,0.5967402733964248,0.8421642607174104,0.7023152683958129,0.7478619528619529,0.6452377004524242,0.7089099598575305,0.7917149794203105
"NB",16087,7836,28740,6737,0.7048282509638977,0.785761154855643,0.6724491075534005,0.7546632996632997,0.6882580700365799,0.7441953106895227,0.8258199490762592
"RF",17341,2674,33902,5483,0.759770417104802,0.9268919510061242,0.8664001998501124,0.8626767676767677,0.8095893928429702,0.8391811986853653,0.9243197802188008
"XGB",17140,3157,33419,5684,0.7509638976515948,0.9136865704286964,0.8444597723801547,0.8511616161616161,0.7949722872846177,0.8283390780115666,0.9182201513286264
