"row ID","TP","FP","TN","FN","TPR","TNR","PPV","Accuracy","F1-score","G-mean","AUC"
"3NN",15925,5125,31451,6899,0.6977304591657904,0.8598807961504812,0.7565320665083135,0.7975757575757576,0.725942471623285,0.7745740911790947,0.8407623265944446
"5NN",15723,5192,31384,7101,0.6888801261829653,0.8580489938757655,0.7517571121204877,0.793047138047138,0.7189464779716043,0.7688256624048808,0.8515597556650165
"7NN",15518,5125,31451,7306,0.6798983526112864,0.8598807961504812,0.7517318219251078,0.7907239057239057,0.7140129293487014,0.7646120171333913,0.8561564754355593
"1NN",16331,6097,30479,6493,0.7155187521906765,0.8333059930008749,0.7281523096129837,0.788047138047138,0.7217802528065059,0.7721697121132106,0.7744997588818419
"3NN-wd",16373,5565,31011,6451,0.7173589204346302,0.8478510498687664,0.7463305679642629,0.7977104377104377,0.7315580179616639,0.7798804484170802,0.8474569994212271
