"row ID","TP","FP","TN","FN","TPR","TNR","PPV","Accuracy","F1-score","G-mean","AUC"
"RF",17341,2674,33902,5483,0.759770417104802,0.9268919510061242,0.8664001998501124,0.8626767676767677,0.8095893928429702,0.8391811986853653,0.9243197802188008
"RF-GR",11813,1849,34727,11011,0.5175692253767964,0.9494477252843394,0.8646611037915386,0.7835016835016835,0.6475360412212903,0.7010027986471787,0.8569858767154357
"RF125",17374,2674,33902,5450,0.7612162635821942,0.9268919510061242,0.8666201117318436,0.8632323232323232,0.8105056913603285,0.8399793019410015,0.9246884308937594
