"row ID","TP","FP","TN","FN","TPR","TNR","PPV","Accuracy","F1-score","G-mean","AUC"
"MLP",13620,5773,30803,9204,0.5967402733964248,0.8421642607174104,0.7023152683958129,0.7478619528619529,0.6452377004524242,0.7089099598575305,0.7917149794203105
"MLP-5",13145,5750,30826,9679,0.5759288468279005,0.8427930883639545,0.6956866896004233,0.7402525252525253,0.630168508353508,0.6966985370272979,0.78152725689319
"MLP-3c25nc",13544,4547,32029,9280,0.5934104451454609,0.875683508311461,0.7486595544746006,0.7672222222222222,0.6620554808749847,0.7208604167754274,0.8135890170463732
"MLP-5c20nc",12701,3803,32773,10123,0.5564756396775324,0.8960247156605424,0.7695710130877363,0.7655555555555555,0.6459011391375101,0.7061274154244965,0.8022124284800874
"MLP-2c5nc",12937,5436,31140,9887,0.5668156326673677,0.8513779527559056,0.7041310618842868,0.742037037037037,0.628055440930165,0.6946757034259848,0.7789135371616883
